Sun Dec 22 17:08:52 2019    D:\GoldenDict\output.txt

         2779 function calls (2736 primitive calls) in 24.570 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      316    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      281    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
      273    0.138    0.001    0.138    0.001 {method 'update' of '_sha256.sha256' objects}
      257    0.000    0.000    0.000    0.000 C:\Anaconda\lib\hashlib.py:173(<genexpr>)
      257    0.000    0.000    0.000    0.000 C:\Anaconda\lib\hashlib.py:174(<genexpr>)
      114    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       66    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       58    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       54    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       47    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       40    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       38    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       32    0.000    0.000    0.000    0.000 C:\Anaconda\lib\ntpath.py:122(splitdrive)
       32    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       26    0.002    0.000    0.002    0.000 {built-in method nt.stat}
       20    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       20    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     16/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       16    0.000    0.000    0.000    0.000 C:\Anaconda\lib\ntpath.py:75(join)
       14    0.000    0.000    0.001    0.000 C:\Anaconda\lib\hashlib.py:73(__get_builtin_constructor)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
