"File Time","Total Events","Opens","Closes","Reads","Writes","Read Bytes","Write Bytes","Get ACL","Set ACL","Other","Path"
"0.1352574","2 867","590","447","370","0","19 154 255","0","0","0","1 460","<Total>"
"0.0387713","23","3","3","5","0","61 440","0","0","0","12","C:\Anaconda\ucrtbase.dll"
"0.0259726","24","4","4","3","0","36 864","0","0","0","13","C:\Anaconda\python37.dll"
"0.0236918","19","3","3","1","0","4 096","0","0","0","12","C:\Anaconda\vcruntime140.dll"
"0.0117025","12","1","1","1","0","1 024","0","0","0","9","C:\Windows\System32\KernelBase.dll"
"0.0062586","225","2","2","217","0","14 148 150","0","0","0","4","D:\GoldenDict\ruenru\En-Ru-Apresyan.dsl.dz"
"0.0015529","62","2","2","54","0","3 466 954","0","0","0","4","D:\GoldenDict\ruenru\Ru-En-Smirnitsky.dsl.dz"
"0.0015061","129","32","32","0","0","0","0","0","0","65","C:\Anaconda\DLLs"
"0.0012373","122","29","29","0","0","0","0","0","0","64","C:\Anaconda\Lib"
"0.0008443","52","13","13","0","0","0","0","0","0","26","C:\Anaconda\DLLs\_hashlib.pyd"
"0.0006188","59","13","13","0","0","0","0","0","0","33","C:\Windows\System32\rsaenh.dll"
"0.0005659","34","7","7","0","0","0","0","0","0","20","C:\Windows\System32\imm32.dll"
"0.0004761","16","2","2","2","0","23 935","0","0","0","10","C:\Anaconda\Lib\__pycache__\functools.cpython-37.pyc"
"0.0003782","30","8","8","0","0","0","0","0","0","14","C:\Users\Андрей\Desktop\HW scripts"
"0.0003696","70","10","10","0","0","0","0","0","0","50","C:\Anaconda\Lib\site-packages"
"0.0003375","36","8","8","0","0","0","0","0","0","20","C:\Anaconda\Lib\encodings"
"0.0003134","8","2","2","0","0","0","0","0","0","4","C:\Anaconda\Lib\keyword.py"
"0.0003112","4","1","1","1","0","308 506","0","0","0","1","C:\Windows\Prefetch\PYTHON.EXE-F39F21A3.pf"
"0.0003065","40","9","9","0","0","0","0","0","0","22","C:\Anaconda"
"0.0002790","8","2","2","0","0","0","0","0","0","4","C:\Anaconda\Lib\collections\__init__.py"
